Berkshire~Berks
Buckinghamshire~Bucks
Cambridgeshire~Cambs
Cheshire~Ches
Cornwall~Corn
Derbyshire~Derbs
East Sussex~E Sussex
Gloucestershire~Glos
Hampshire~Hants
Herefordshire~Here
Hertfordshire~Herts
Lancashire~Lancs
Leicestershire~Leics
Lincolnshire~Lincs
Middlesex~Middx
Norfolk~Norf
North Yorkshire~N Yorks
Northamptonshire~Northants
Northumberland~Northd
Nottinghamshire~Notts
Oxfordshire~Oxon
Rutland~Rut
Shropshire~Salop
Somerset~Som
South Yorkshire~S Yorks
Staffordshire~Staffs
Tyne and Wear~Tyne & Wear
Warwickshire~Warks
West Midlands~W Mids
West Sussex~W Sussex
West Yorkshire~W Yorks
Wiltshire~Wilts
Worcestershire~Worcs
Bedfordshire~Beds
East Yorkshire~East Yorks
West Yorkshire~West Yorks
South Yorkshire~South Yorks
North Yorkshire~North Yorks
East Yorkshire~E Yorks
Tyne and Wear~Tyne and Wear
Tyne and Wear~Tyne and wear
Gloucestershire~Gloucs
West Midlands~West Mids
West Yorkshire~W Yorkshire
East Yorkshire~E Yorkshire
South Yorkshire~S Yorkshire
North Yorkshire~N Yorkshire
Greater Manchester~Gtr Manchester
County Durham~Durham
Middlesex~Middx
Yorkshire~Yorks
West Midlands~W Midlands
South Gloucestershire~South Glos
Greater London~Gt London
County Durham~Co Durham
South Gloucestershire~S Glos
City of Bristol~Bristol
Greater Manchester~Gt Manchester
Somerset~Bath and North-East Somerset
Somerset~BANES
